A,B,C,D
0.519,1,33,TRUE
0.412,0,23,TRUE
0.435,0,25,FALSE
0.556,2,25,TRUE
0.650,2,40,TRUE
0.357,0,16,FALSE
0.538,0,17,FALSE
0.476,1,26,TRUE
0.500,1,34,TRUE
0.333,0,12,FALSE
0.458,0,32,FALSE
0.579,0,25,FALSE
0.471,1,22,FALSE
0.273,0,10,FALSE
0.600,0,25,FALSE
0.526,0,25,FALSE
0.409,0,24,FALSE
0.500,0,28,FALSE
0.526,0,25,FALSE
0.560,0,36,TRUE
0.600,1,23,TRUE
0.412,1,20,TRUE
0.526,1,24,TRUE
0.545,1,26,TRUE
0.450,1,25,FALSE
0.462,1,21,FALSE
0.600,0,25,FALSE
0.591,0,30,FALSE
0.632,1,28,TRUE
0.619,2,34,TRUE
0.500,1,31,FALSE
0.600,0,26,FALSE
0.500,0,19,FALSE
0.625,0,31,FALSE
0.625,0,29,FALSE
0.375,0,18,TRUE
0.652,1,40,FALSE
0.714,0,25,FALSE
0.467,1,20,FALSE
0.421,1,26,FALSE
0.571,0,23,TRUE
0.500,0,16,TRUE
0.765,0,40,TRUE
0.833,0,23,TRUE
0.500,0,25,TRUE
0.556,1,24,FALSE
0.636,0,33,FALSE
0.650,0,37,TRUE
0.550,1,28,TRUE
