station_complex,ridership
Grant Av (A),90502
111 St (J),36219
86 St (Q),433423
Bay Ridge Av (R),127227
"104 St (J,Z)",48431
Christopher St-Sheridan Sq (1),227172
"West Farms Sq-E Tremont Av (2,5)",73980
"Queens Plaza (E,M,R)",322920
111 St (A),38287
215 St (1),28997
"46 St (M,R)",113593
"138 St-Grand Concourse (4,5)",60124
Rockaway Av (C),84039
"Bergen St (F,G)",188727
Gun Hill Rd (5),65870
New Lots Av (3),81737
"South Ferry (1)/Whitehall St (R,W)",633706
79 St (D),108607
Avenue U (N),70815
"233 St (2,5)",55319
55 St (D),30823
Norwood-205 St (D),102173
"Newkirk Av-Little Haiti (2,5)",115781
Bay Ridge-95 St (R),95273
23 St (6),378184
"96 St (C,B)",183402
"Hoyt St (2,3)",162518
104 St (A),28578
Cypress Av (6),45290
"Prospect Park (B,Q,S)",182400
Saratoga Av (3),70078
18 Av (F),52165
72 St (Q),528434
Knickerbocker Av (M),67155
Halsey St (L),128823
Van Siclen Av (C),41087
Cortelyou Rd (Q),99643
155 St (C),49790
"81 St-Museum of Natural History (C,B)",328875
103 St (1),214574
231 St (1),123018
157 St (1),145473
"Elmhurst Av (M,R)",229984
"Gates Av (J,Z)",119149
"174-175 Sts (B,D)",63034
"Grand Army Plaza (2,3)",131308
"Franklin Av (C,S)",87542
"Euclid Av (A,C)",165680
St George (SIR),166064
Jamaica-179 St (F),337062
"Lexington Av-53 St (E,M)/51 St (6)",996199
Rector St (1),139428
"23 St (R,W)",350655
"Intervale Av (2,5)",35626
"75 St-Elderts Ln (J,Z)",25826
York St (F),301072
"Court Sq (E,G,M,7)",564901
"182-183 Sts (B,D)",61421
169 St (F),142363
"Bryant Pk (B,D,F,M)/5 Av (7)",1019396
90 St-Elmhurst Av (7),393445
28 St (1),245615
Avenue U (Q),124718
Whitlock Av (6),28189
Jamaica-Van Wyck (E),85710
18 St (1),134885
"Court St (R)/Borough Hall (2,3,4,5)",493335
"Sterling St (2,5)",98816
Bay Pkwy (N),121900
"Woodhaven Blvd (J,Z)",27981
Beach 44 St (A),11919
"Grand Central-42 St (S,4,5,6,7)",2843266
