Date,Open
1928-02-01,17.530001
1928-03-01,17.299999
1928-05-01,19.780001
1928-06-01,20.07
1928-08-01,19.42
1928-10-01,21.360001
1928-11-01,21.99
1929-02-01,25.84
1929-03-01,25.83
1929-04-01,24.879999
1929-05-01,25.99
1929-07-01,27.77
1929-08-01,29.08
1929-10-01,29.98
1930-04-01,25.370001
1930-05-01,24.299999
1930-07-01,20.24
1930-08-01,21.110001
1930-10-01,19.42
1930-12-01,16.799999
1931-04-01,16.52
1931-05-01,14.65
1931-06-01,12.4
1931-07-01,15.07
1931-09-01,13.92
1931-10-01,9.53
1931-12-01,9.38
1932-02-01,8.23
1932-03-01,8.35
1932-04-01,7.18
1932-06-01,4.4
1932-07-01,4.6
1932-08-01,6.11
1932-09-01,8.47
1932-11-01,6.76
1932-12-01,6.73
1933-02-01,6.67
1933-03-01,5.77
1933-05-01,8.43
1933-06-01,9.74
1933-08-01,10.25
1933-09-01,11.23
1933-11-01,9.12
1933-12-01,9.91
1934-02-01,11.46
1934-03-01,10.72
1934-05-01,10.46
1934-06-01,9.38
1934-08-01,8.95
1934-10-01,8.83
1934-11-01,8.77
1935-02-01,9.05
1935-03-01,8.79
1935-04-01,8.54
1935-05-01,9.23
1935-07-01,10.28
1935-08-01,11.04
1935-10-01,11.48
1935-11-01,12.61
1936-04-01,15.19
1936-05-01,13.87
1936-06-01,14.39
1936-07-01,14.9
1936-09-01,15.95
1936-10-01,16.040001
1936-12-01,17.139999
1937-02-01,17.879999
1937-03-01,18.09
1937-04-01,17.709999
1937-06-01,15.96
1937-07-01,15.47
1937-09-01,15.61
1937-10-01,13.72
1937-11-01,12.08
1937-12-01,10.97
1938-02-01,10.89
1938-03-01,11.46
1938-04-01,8.91
1938-06-01,9.57
1938-07-01,11.91
1938-08-01,12.25
1938-09-01,11.92
1938-11-01,13.1
1938-12-01,12.61
1939-02-01,12.12
1939-03-01,12.7
1939-05-01,10.86
1939-06-01,11.42
1939-08-01,12.04
1939-09-01,11.3
1939-11-01,12.82
1939-12-01,12.29
1940-02-01,12.05
1940-03-01,12.06
1940-04-01,12.21
1940-05-01,12.03
1940-07-01,9.87
1940-08-01,10.26
1940-10-01,10.81
1940-11-01,11.08
1941-04-01,9.97
1941-05-01,9.3
1941-07-01,9.82
1941-08-01,10.34
1941-10-01,10.17
1941-12-01,9.07
1942-04-01,8.05
1942-05-01,7.71
1942-06-01,8.19
1942-07-01,8.23
1942-09-01,8.62
1942-10-01,8.92
1942-12-01,9.28
1943-02-01,10.52
1943-03-01,10.92
1943-04-01,11.59
1943-06-01,12.18
1943-07-01,12.36
1943-09-01,11.84
1943-10-01,12.09
1943-11-01,11.92
1943-12-01,11.13
1944-02-01,11.83
1944-03-01,11.87
1944-05-01,11.96
1944-06-01,12.31
1944-08-01,12.78
1944-09-01,12.86
1944-11-01,12.83
1944-12-01,12.8
1945-02-01,13.5
1945-03-01,14.32
1945-05-01,14.79
1945-06-01,15.03
1945-08-01,14.68
1945-10-01,16.33
1945-11-01,16.870001
1946-02-01,18.639999
1946-03-01,17.209999
1946-04-01,18.059999
1946-05-01,18.709999
1946-07-01,18.540001
1946-08-01,18.01
1946-10-01,14.92
1946-11-01,15.07
1947-04-01,15.23
1947-05-01,14.69
1947-07-01,15.46
1947-08-01,15.8
1947-10-01,15.16
1947-12-01,15.07
1948-03-01,14.07
1948-04-01,15.12
1948-06-01,16.74
1948-07-01,16.700001
1948-09-01,16.16
1948-10-01,15.67
1948-11-01,16.700001
1948-12-01,15.01
1949-02-01,15.34
1949-03-01,14.71
1949-04-01,14.94
1949-06-01,14.14
1949-07-01,14.26
1949-08-01,15.12
1949-09-01,15.31
1949-11-01,16.200001
1949-12-01,16.15
1950-02-01,17.049999
1950-03-01,17.24
1950-05-01,18.219999
1950-06-01,18.77
1950-08-01,18.02
1950-09-01,18.549999
1950-11-01,19.559999
1950-12-01,19.66
1951-02-01,21.77
1951-03-01,21.85
1951-05-01,22.530001
1951-06-01,21.48
1951-08-01,22.51
1951-10-01,23.469999
1951-11-01,23.1
1952-02-01,24.299999
1952-04-01,24.18
1952-05-01,23.17
1952-07-01,25.120001
1952-08-01,25.450001
1952-10-01,24.48
1952-12-01,25.68
1953-04-01,25.25
1953-05-01,24.73
1953-06-01,24.15
1953-07-01,24.24
1953-09-01,23.42
1953-10-01,23.49
1953-12-01,24.780001
1954-02-01,25.99
1954-03-01,26.25
1954-04-01,27.17
1954-06-01,29.190001
1954-07-01,29.209999
1954-09-01,30.040001
1954-10-01,32.290001
1954-11-01,31.790001
1954-12-01,33.990002
1955-02-01,36.720001
1955-03-01,36.830002
1955-04-01,36.950001
1955-06-01,37.959999
1955-07-01,41.189999
1955-08-01,42.93
1955-09-01,43.369999
1955-11-01,42.279999
1955-12-01,45.349998
1956-02-01,44.029999
1956-03-01,45.540001
1956-05-01,48.16
1956-06-01,45.580002
1956-08-01,49.619999
1956-10-01,44.700001
1956-11-01,46.52
1957-02-01,44.619999
1957-03-01,43.740002
1957-04-01,44.139999
1957-05-01,46.02
1957-07-01,47.43
1957-08-01,47.790001
1957-10-01,42.759998
1957-11-01,40.439999
1958-04-01,41.93
1958-05-01,43.540001
1958-07-01,45.279999
1958-08-01,47.490002
1958-10-01,49.98
1958-12-01,52.689999
1959-04-01,55.689999
1959-05-01,57.650002
1959-06-01,58.630001
1959-07-01,58.970001
1959-09-01,58.869999
1959-10-01,56.939999
1959-12-01,58.700001
1960-02-01,55.959999
1960-03-01,56.009998
1960-04-01,55.43
1960-06-01,55.889999
1960-07-01,57.060001
1960-08-01,55.529999
1960-09-01,57.09
1960-11-01,53.939999
1960-12-01,55.299999
1961-02-01,61.900002
1961-03-01,63.43
1961-05-01,65.169998
1961-06-01,66.559998
1961-08-01,67.370003
1961-09-01,68.190002
1961-11-01,68.730003
1961-12-01,71.779999
1962-02-01,68.839996
1962-03-01,69.959999
1962-05-01,65.239998
1962-06-01,59.630001
1962-08-01,58.23
1962-10-01,56.27
1962-11-01,56.52
1963-02-01,66.309998
1963-03-01,64.290001
1963-04-01,66.57
1963-05-01,69.800003
1963-07-01,69.370003
1963-08-01,69.129997
1963-10-01,71.699997
1963-11-01,74.010002
1964-04-01,78.980003
1964-05-01,79.459999
1964-06-01,80.370003
1964-07-01,81.690002
1964-09-01,81.830002
1964-10-01,84.18
1964-12-01,84.419998
1965-02-01,87.559998
1965-03-01,87.43
1965-04-01,86.160004
1965-06-01,88.419998
1965-07-01,84.120003
1965-09-01,87.169998
1965-10-01,89.959999
1965-11-01,92.419998
1965-12-01,91.610001
1966-02-01,92.879997
1966-03-01,91.220001
1966-04-01,89.230003
1966-06-01,86.129997
1966-07-01,84.739998
1966-08-01,83.5
1966-09-01,77.099998
1966-11-01,80.199997
1966-12-01,80.449997
1967-02-01,86.610001
1967-03-01,86.779999
1967-05-01,94.010002
1967-06-01,89.080002
1967-08-01,94.75
1967-09-01,93.639999
1967-11-01,93.300003
1967-12-01,94.0
1968-02-01,92.239998
1968-03-01,89.360001
1968-04-01,91.110001
1968-05-01,97.459999
1968-07-01,99.580002
1968-08-01,97.739998
1968-10-01,102.669998
1968-11-01,103.410004
1969-04-01,101.510002
1969-05-01,103.690002
1969-07-01,97.709999
1969-08-01,91.919998
1969-10-01,93.120003
1969-12-01,93.809998
1970-04-01,89.629997
1970-05-01,81.519997
1970-06-01,76.550003
1970-07-01,72.720001
1970-09-01,81.519997
1970-10-01,84.300003
1970-12-01,87.199997
1971-02-01,95.879997
1971-03-01,96.75
1971-04-01,100.309998
1971-06-01,99.629997
1971-07-01,99.160004
1971-09-01,99.029999
1971-10-01,98.339996
1971-11-01,94.230003
1971-12-01,93.989998
1972-02-01,103.940002
1972-03-01,106.57
1972-05-01,107.669998
1972-06-01,109.529999
1972-08-01,107.389999
1972-09-01,111.089996
1972-11-01,111.580002
1972-12-01,116.669998
1973-02-01,116.029999
1973-03-01,111.68
1973-05-01,106.970001
1973-06-01,104.949997
1973-08-01,108.169998
1973-10-01,108.43
1973-11-01,108.290001
1974-02-01,96.57
1974-03-01,96.220001
1974-04-01,93.980003
1974-05-01,90.309998
1974-07-01,86.0
1974-08-01,79.309998
1974-10-01,63.540001
1974-11-01,73.900002
1975-04-01,83.360001
1975-05-01,87.300003
1975-07-01,95.190002
1975-08-01,88.75
1975-10-01,83.870003
1975-12-01,91.239998
1976-03-01,99.709999
1976-04-01,102.769997
1976-06-01,100.18
1976-07-01,104.279999
1976-09-01,102.910004
1976-10-01,105.239998
1976-11-01,102.900002
1976-12-01,102.099998
1977-02-01,102.029999
1977-03-01,99.82
1977-04-01,98.419998
1977-06-01,96.120003
