,Rk,Date,Age,Tm,Unnamed: 4,Opp,Unnamed: 6,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,name
2,3,2024-05-21,27-287,LVA,,PHO,L (-10),1,32:22,8,18,0.444,0,0,,5,8,0.625,2,11,13,2,0,3,1,2,21,16.8,Wilson
3,4,2024-05-25,27-291,LVA,,IND,W (+19),1,30:44,12,18,0.667,1,2,0.5,4,4,1.0,2,13,15,2,1,1,0,1,29,29.2,Wilson
4,5,2024-05-29,27-295,LVA,@,MIN,W (+14),1,31:59,11,23,0.478,0,1,0.0,7,10,0.7,3,12,15,3,2,4,2,2,29,25.9,Wilson
5,6,2024-05-31,27-297,LVA,@,ATL,L (-4),1,35:12,12,27,0.444,0,1,0.0,4,4,1.0,0,9,9,3,1,4,1,2,28,20.7,Wilson
6,7,2024-06-05,27-302,LVA,@,DAL,W (+14),1,33:34,15,22,0.682,1,1,1.0,5,6,0.833,5,7,12,2,6,1,3,1,36,36.5,Wilson
7,8,2024-06-07,27-304,LVA,,SEA,L (-13),1,36:00,8,20,0.4,0,1,0.0,13,14,0.929,1,10,11,0,1,3,3,2,29,20.8,Wilson
8,9,2024-06-09,27-306,LVA,@,LAS,L (-4),1,37:13,10,17,0.588,2,2,1.0,9,11,0.818,1,7,8,5,2,6,1,2,31,33.0,Wilson
9,10,2024-06-11,27-308,LVA,,MIN,L (-14),1,32:58,9,18,0.5,1,2,0.5,9,10,0.9,2,6,8,3,2,0,1,3,28,23.7,Wilson
10,11,2024-06-13,27-310,LVA,@,PHO,W (+4),1,34:19,10,17,0.588,1,1,1.0,11,11,1.0,6,9,15,2,1,2,3,3,32,30.6,Wilson
11,12,2024-06-15,27-312,LVA,,NYL,L (-8),1,35:46,9,16,0.563,0,1,0.0,3,4,0.75,0,9,9,3,0,1,2,4,21,14.9,Wilson
12,13,2024-06-19,27-316,LVA,,SEA,W (+11),1,32:27,11,18,0.611,0,0,,5,7,0.714,2,7,9,3,4,2,0,2,27,28.2,Wilson
13,14,2024-06-21,27-318,LVA,,CON,W (+11),1,34:15,9,17,0.529,0,2,0.0,8,8,1.0,4,12,16,1,2,2,3,1,26,24.8,Wilson
14,15,2024-06-27,27-324,LVA,@,CHI,W (+12),1,33:44,10,19,0.526,1,2,0.5,10,12,0.833,2,4,6,3,2,2,3,2,31,25.2,Wilson
15,16,2024-06-29,27-326,LVA,@,WAS,W (+11),1,32:24,4,15,0.267,0,1,0.0,3,4,0.75,0,9,9,5,2,1,1,3,11,8.4,Wilson
16,17,2024-07-02,27-329,LVA,,IND,W (+19),1,36:10,13,22,0.591,0,0,,2,3,0.667,2,7,9,1,2,5,0,2,28,26.3,Wilson
17,18,2024-07-04,27-331,LVA,,WAS,W (+21),1,26:13,9,12,0.75,0,1,0.0,0,0,,0,9,9,4,3,3,2,3,18,20.6,Wilson
18,19,2024-07-05,27-332,LVA,@,LAS,L (-5),1,41:28,13,23,0.565,0,3,0.0,9,9,1.0,0,12,12,3,0,6,2,5,35,30.0,Wilson
19,20,2024-07-07,27-334,LVA,,DAL,W (+19),1,31:12,11,22,0.5,3,4,0.75,3,4,0.75,3,7,10,2,1,2,2,0,28,22.6,Wilson
20,21,2024-07-10,27-337,LVA,@,SEA,W (+5),1,35:08,7,18,0.389,0,2,0.0,10,10,1.0,2,18,20,2,3,4,0,0,24,28.2,Wilson
21,22,2024-07-12,27-339,LVA,@,ATL,W (+14),1,37:20,13,23,0.565,3,4,0.75,4,4,1.0,2,16,18,1,3,5,0,2,33,34.7,Wilson
22,23,2024-07-14,27-341,LVA,@,WAS,W (+12),1,36:03,12,19,0.632,0,1,0.0,4,4,1.0,4,13,17,1,0,2,2,1,28,25.9,Wilson
23,24,2024-07-16,27-343,LVA,,CHI,L (-8),1,36:34,9,21,0.429,1,2,0.5,9,10,0.9,3,11,14,0,3,5,2,0,28,26.4,Wilson
24,25,2024-08-17,28-009,LVA,,NYL,L (-12),1,35:40,8,15,0.533,1,1,1.0,7,8,0.875,0,11,11,0,3,3,0,0,24,24.7,Wilson
25,26,2024-08-18,28-010,LVA,,LAS,W (+16),1,33:59,12,20,0.6,0,0,,10,11,0.909,1,12,13,0,5,2,1,1,34,33.7,Wilson
26,27,2024-08-21,28-013,LVA,,MIN,L (-11),1,33:07,7,14,0.5,0,1,0.0,1,2,0.5,5,4,9,6,2,0,0,0,15,18.5,Wilson
27,28,2024-08-23,28-015,LVA,@,MIN,L (-13),1,32:56,8,17,0.471,0,2,0.0,8,9,0.889,0,7,7,3,0,0,3,4,24,14.5,Wilson
28,29,2024-08-25,28-017,LVA,@,CHI,W (+2),1,32:46,8,28,0.286,0,1,0.0,4,5,0.8,6,12,18,2,2,3,0,2,20,15.7,Wilson
29,30,2024-08-27,28-019,LVA,@,DAL,L (-3),1,36:45,16,22,0.727,0,2,0.0,10,13,0.769,2,4,6,2,1,3,1,2,42,37.1,Wilson
30,31,2024-08-30,28-022,LVA,,ATL,W (+11),1,37:21,9,17,0.529,0,1,0.0,8,10,0.8,2,14,16,5,0,5,0,1,26,29.1,Wilson
31,32,2024-09-01,28-024,LVA,@,PHO,W (+18),1,34:01,16,23,0.696,2,6,0.333,7,9,0.778,4,13,17,2,2,1,0,3,41,40.1,Wilson
32,33,2024-09-03,28-026,LVA,,CHI,W (+19),1,34:36,10,19,0.526,1,4,0.25,9,10,0.9,2,12,14,3,2,3,2,0,30,29.5,Wilson
33,34,2024-09-06,28-029,LVA,@,CON,W (+5),1,36:56,8,15,0.533,0,0,,4,6,0.667,0,8,8,0,2,2,2,2,20,14.9,Wilson
34,35,2024-09-11,28-034,LVA,@,IND,W (+11),1,33:59,11,28,0.393,0,0,,5,7,0.714,3,9,12,2,2,3,0,0,27,21.3,Wilson
35,36,2024-09-13,28-036,LVA,@,IND,W (+4),1,35:38,6,15,0.4,0,1,0.0,3,4,0.75,0,17,17,1,1,2,1,1,15,13.3,Wilson
36,37,2024-09-15,28-038,LVA,,CON,W (+13),1,35:24,13,25,0.52,0,3,0.0,3,5,0.6,1,8,9,3,0,2,0,2,29,21.7,Wilson
37,38,2024-09-17,28-040,LVA,@,SEA,W (+13),1,34:53,9,18,0.5,0,0,,3,4,0.75,0,7,7,2,1,0,1,1,21,14.7,Wilson
