,Rk,Date,Age,Tm,Unnamed: 4,Opp,Unnamed: 6,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,name
36,37,2024-09-11,22-233,IND,,LVA,L (-11),1,37:55,6,22,0.273,1,10,0.1,3,3,1.0,0,3,3,6,0,0,5,3,16,1.9,Clark
37,38,2024-09-13,22-235,IND,,LVA,L (-4),1,34:00,7,18,0.389,2,8,0.25,2,4,0.5,1,7,8,9,1,0,6,4,18,9.9,Clark
38,39,2024-09-15,22-237,IND,,DAL,W (+1),1,35:50,10,22,0.455,6,14,0.429,9,9,1.0,0,2,2,8,3,0,5,1,35,27.4,Clark
39,40,2024-09-19,22-241,IND,@,WAS,L (-1),1,19:47,2,5,0.4,2,3,0.667,2,2,1.0,0,5,5,8,1,0,3,0,8,10.4,Clark
0,1,2024-05-14,29-260,PHO,@,LVA,L (-9),1,29:56,7,19,0.368,3,7,0.429,2,2,1.0,1,3,4,4,0,0,2,5,19,8.9,Copper
1,2,2024-05-18,29-264,PHO,,ATL,W (+3),1,32:35,11,20,0.55,3,5,0.6,13,16,0.813,1,5,6,1,0,0,2,4,38,26.5,Copper
2,3,2024-05-21,29-267,PHO,@,LVA,W (+10),1,30:09,15,23,0.652,5,9,0.556,2,2,1.0,0,4,4,3,3,1,3,3,37,29.7,Copper
3,4,2024-05-23,29-269,PHO,,WAS,W (+3),1,28:13,7,17,0.412,3,9,0.333,3,3,1.0,1,4,5,2,1,0,1,4,20,12.6,Copper
4,5,2024-05-25,29-271,PHO,,DAL,L (-15),1,35:37,11,22,0.5,4,7,0.571,6,7,0.857,0,1,1,2,1,0,4,3,32,18.1,Copper
5,6,2024-05-28,29-274,PHO,@,CON,L (-23),1,28:42,2,11,0.182,0,5,0.0,3,4,0.75,3,2,5,4,0,0,4,1,7,0.8,Copper
6,7,2024-05-29,29-275,PHO,@,NYL,L (-3),1,31:49,7,19,0.368,0,5,0.0,6,7,0.857,3,6,9,2,2,0,4,4,20,10.8,Copper
7,8,2024-05-31,29-277,PHO,@,MIN,L (-24),1,30:43,7,18,0.389,3,6,0.5,4,5,0.8,0,1,1,1,1,0,2,2,21,10.0,Copper
8,9,2024-06-02,29-279,PHO,,LAS,W (+19),1,29:11,4,13,0.308,2,6,0.333,2,2,1.0,0,3,3,0,1,0,4,4,12,0.8,Copper
9,10,2024-06-04,29-281,PHO,@,SEA,L (-18),1,30:59,6,18,0.333,3,7,0.429,4,8,0.5,0,7,7,1,1,0,4,1,19,6.6,Copper
10,11,2024-06-07,29-284,PHO,,MIN,W (+1),1,31:35,13,23,0.565,5,12,0.417,3,5,0.6,1,5,6,2,2,2,4,2,34,24.5,Copper
11,12,2024-06-09,29-286,PHO,@,DAL,W (+7),1,44:27,9,22,0.409,4,11,0.364,7,8,0.875,0,3,3,1,0,0,6,4,29,10.8,Copper
12,13,2024-06-13,29-290,PHO,,LVA,L (-4),1,30:17,6,16,0.375,1,6,0.167,5,5,1.0,0,4,4,5,2,0,2,6,18,11.5,Copper
13,14,2024-06-16,29-293,PHO,,SEA,W (+9),1,32:32,11,20,0.55,3,7,0.429,5,5,1.0,0,6,6,2,1,0,3,2,30,20.8,Copper
14,15,2024-06-18,29-295,PHO,,NYL,W (+6),1,31:09,7,13,0.538,1,4,0.25,2,3,0.667,0,2,2,7,2,0,4,3,17,12.6,Copper
15,16,2024-06-22,29-299,PHO,@,MIN,L (-13),1,31:56,3,17,0.176,1,7,0.143,2,4,0.5,1,4,5,1,2,0,4,4,9,-3.5,Copper
16,17,2024-06-28,29-305,PHO,,LAS,W (+14),1,30:39,9,18,0.5,0,3,0.0,6,8,0.75,1,4,5,0,1,0,3,3,24,12.9,Copper
17,18,2024-06-30,29-307,PHO,,IND,L (-6),1,30:48,3,15,0.2,1,6,0.167,0,0,,0,3,3,2,1,0,3,6,7,-4.4,Copper
18,19,2024-07-01,29-308,PHO,,CON,L (-11),1,36:49,7,16,0.438,1,3,0.333,6,7,0.857,0,6,6,2,1,0,1,2,21,14.6,Copper
19,20,2024-07-03,29-310,PHO,@,DAL,W (+8),1,32:15,14,20,0.7,3,4,0.75,3,3,1.0,1,0,1,1,0,0,1,5,34,24.0,Copper
20,21,2024-07-07,29-314,PHO,@,LAS,W (+6),1,34:34,7,17,0.412,0,5,0.0,11,13,0.846,1,9,10,5,0,0,4,3,25,16.8,Copper
